idcasilla,entidad,estado,id_municipio,municipio,cve_edo,cve_mpo,cve_edo_mpo,casilla,estatus_casilla,dia_ejercicio,votos_si,votos_no,votos_nulos,total,entidad.y,municipio.y,nombre_del_municipio,padron,lista_nominal,cve_edo.y,cve_mpo.y
1700101,17,MORELOS,1,AMACUZAC,17,AMACUZAC,17001,AMACUZAC 01,CAPTURADA,2019-02-23,77,15,0,92,17,1,AMACUZAC,13587,13425,17,001
1700201,17,MORELOS,2,ATLATLAHUCAN,17,ATLATLAHUCAN,17002,ATLATLAHUCAN 01,CAPTURADA,2019-02-23,74,19,0,93,17,2,ATLATLAHUCAN,17124,17011,17,002
1700301,17,MORELOS,3,AXOCHIAPAN,17,AXOCHIAPAN,17003,AXOCHIAPAN 01,CAPTURADA,2019-02-23,126,120,0,246,17,3,AXOCHIAPAN,26340,26064,17,003
1700401,17,MORELOS,4,AYALA,17,AYALA,17004,AYALA 01,CAPTURADA,2019-02-23,92,704,1,797,17,4,AYALA,62717,61999,17,004
1700402,17,MORELOS,4,AYALA,17,AYALA,17004,AYALA 02,CAPTURADA,2019-02-23,42,240,2,284,17,4,AYALA,62717,61999,17,004
1700403,17,MORELOS,4,AYALA,17,AYALA,17004,AYALA 03,CAPTURADA,2019-02-23,73,263,1,337,17,4,AYALA,62717,61999,17,004
1700501,17,MORELOS,5,COATLAN DEL RIO,17,COATLAN DEL RIO,17005,COATLAN DEL RIO 01,CAPTURADA,2019-02-23,83,14,0,97,17,5,COATLAN DEL RIO,8291,8232,17,005
1700601,17,MORELOS,6,CUAUTLA,17,CUAUTLA,17006,CUAUTLA 01,CAPTURADA,2019-02-23,735,637,5,1377,17,6,CUAUTLA,143744,142718,17,006
1700602,17,MORELOS,6,CUAUTLA,17,CUAUTLA,17006,CUAUTLA 02,CAPTURADA,2019-02-23,341,347,4,692,17,6,CUAUTLA,143744,142718,17,006
1700603,17,MORELOS,6,CUAUTLA,17,CUAUTLA,17006,CUAUTLA 03,CAPTURADA,2019-02-23,377,360,0,737,17,6,CUAUTLA,143744,142718,17,006
1700604,17,MORELOS,6,CUAUTLA,17,CUAUTLA,17006,CUAUTLA 04,CAPTURADA,2019-02-23,205,137,1,343,17,6,CUAUTLA,143744,142718,17,006
1700605,17,MORELOS,6,CUAUTLA,17,CUAUTLA,17006,CUAUTLA 05,CAPTURADA,2019-02-23,76,57,1,134,17,6,CUAUTLA,143744,142718,17,006
1700701,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 01,CAPTURADA,2019-02-23,117,47,1,165,17,7,CUERNAVACA,315582,312633,17,007
1700702,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 02,CAPTURADA,2019-02-23,168,32,0,200,17,7,CUERNAVACA,315582,312633,17,007
1700703,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 03,CAPTURADA,2019-02-23,706,443,1,1150,17,7,CUERNAVACA,315582,312633,17,007
1700704,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 04,CAPTURADA,2019-02-23,119,38,0,157,17,7,CUERNAVACA,315582,312633,17,007
1700705,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 05,CAPTURADA,2019-02-23,72,38,0,110,17,7,CUERNAVACA,315582,312633,17,007
1700706,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 06,CAPTURADA,2019-02-23,190,103,0,293,17,7,CUERNAVACA,315582,312633,17,007
1700707,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 07,CAPTURADA,2019-02-23,155,91,4,250,17,7,CUERNAVACA,315582,312633,17,007
1700708,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 08,CAPTURADA,2019-02-23,235,113,1,349,17,7,CUERNAVACA,315582,312633,17,007
1700709,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 09,CAPTURADA,2019-02-23,81,22,0,103,17,7,CUERNAVACA,315582,312633,17,007
1700710,17,MORELOS,7,CUERNAVACA,17,CUERNAVACA,17007,CUERNAVACA 10,CAPTURADA,2019-02-23,116,65,0,181,17,7,CUERNAVACA,315582,312633,17,007
1700801,17,MORELOS,8,EMILIANO ZAPATA,17,EMILIANO ZAPATA,17008,EMILIANO ZAPATA 01,CAPTURADA,2019-02-23,121,10,0,131,17,8,EMILIANO ZAPATA,63521,62859,17,008
1700802,17,MORELOS,8,EMILIANO ZAPATA,17,EMILIANO ZAPATA,17008,EMILIANO ZAPATA 02,CAPTURADA,2019-02-23,99,25,0,124,17,8,EMILIANO ZAPATA,63521,62859,17,008
1700901,17,MORELOS,9,HUITZILAC,17,HUITZILAC,17009,HUITZILAC 01,CAPTURADA,2019-02-23,90,18,0,108,17,9,HUITZILAC,14838,14698,17,009
1701001,17,MORELOS,10,JANTETELCO,17,JANTETELCO,17010,JANTETELCO 01,CAPTURADA,2019-02-23,6,13,0,19,17,10,JANTETELCO,12861,12761,17,010
1701101,17,MORELOS,11,JIUTEPEC,17,JIUTEPEC,17011,JIUTEPEC 01,CAPTURADA,2019-02-23,363,162,1,526,17,11,JIUTEPEC,166134,164581,17,011
1701102,17,MORELOS,11,JIUTEPEC,17,JIUTEPEC,17011,JIUTEPEC 02,CAPTURADA,2019-02-23,150,33,1,184,17,11,JIUTEPEC,166134,164581,17,011
1701103,17,MORELOS,11,JIUTEPEC,17,JIUTEPEC,17011,JIUTEPEC 03,CAPTURADA,2019-02-23,145,23,1,169,17,11,JIUTEPEC,166134,164581,17,011
1701104,17,MORELOS,11,JIUTEPEC,17,JIUTEPEC,17011,JIUTEPEC 04,CAPTURADA,2019-02-23,116,19,0,135,17,11,JIUTEPEC,166134,164581,17,011
1701105,17,MORELOS,11,JIUTEPEC,17,JIUTEPEC,17011,JIUTEPEC 05,CAPTURADA,2019-02-23,61,21,0,82,17,11,JIUTEPEC,166134,164581,17,011
1701201,17,MORELOS,12,JOJUTLA,17,JOJUTLA,17012,JOJUTLA 01,CAPTURADA,2019-02-23,226,80,0,306,17,12,JOJUTLA,47250,46860,17,012
1701202,17,MORELOS,12,JOJUTLA,17,JOJUTLA,17012,JOJUTLA 02,CAPTURADA,2019-02-23,253,78,1,332,17,12,JOJUTLA,47250,46860,17,012
1701301,17,MORELOS,13,JONACATEPEC,17,JONACATEPEC,17013,JONACATEPEC 01,CAPTURADA,2019-02-23,17,12,0,29,17,13,JONACATEPEC,11997,11923,17,013
1701401,17,MORELOS,14,MAZATEPEC,17,MAZATEPEC,17014,MAZATEPEC 01,CAPTURADA,2019-02-23,83,21,0,104,17,14,MAZATEPEC,8150,7999,17,014
1701501,17,MORELOS,15,MIACATLAN,17,MIACATLAN,17015,MIACATLAN 01,CAPTURADA,2019-02-23,157,36,1,194,17,15,MIACATLAN,20309,20154,17,015
1701601,17,MORELOS,16,OCUITUCO,17,OCUITUCO,17016,OCUITUCO 01,CAPTURADA,2019-02-23,44,60,0,104,17,16,OCUITUCO,13120,13037,17,016
1701701,17,MORELOS,17,PUENTE DE IXTLA,17,PUENTE DE IXTLA,17017,PUENTE DE IXTLA 01,CAPTURADA,2019-02-23,131,24,0,155,17,17,PUENTE DE IXTLA,49376,48885,17,017
1701702,17,MORELOS,17,PUENTE DE IXTLA,17,PUENTE DE IXTLA,17017,PUENTE DE IXTLA 02,CAPTURADA,2019-02-23,101,7,0,108,17,17,PUENTE DE IXTLA,49376,48885,17,017
1701801,17,MORELOS,18,TEMIXCO,17,TEMIXCO,17018,TEMIXCO 01,CAPTURADA,2019-02-23,148,21,2,171,17,18,TEMIXCO,87244,86524,17,018
1701802,17,MORELOS,18,TEMIXCO,17,TEMIXCO,17018,TEMIXCO 02,CAPTURADA,2019-02-23,104,12,1,117,17,18,TEMIXCO,87244,86524,17,018
1701803,17,MORELOS,18,TEMIXCO,17,TEMIXCO,17018,TEMIXCO 03,CAPTURADA,2019-02-23,61,7,0,68,17,18,TEMIXCO,87244,86524,17,018
1701901,17,MORELOS,19,TEPALCINGO,17,TEPALCINGO,17019,TEPALCINGO 01,CAPTURADA,2019-02-23,107,31,2,140,17,19,TEPALCINGO,20438,20228,17,019
1701902,17,MORELOS,19,TEPALCINGO,17,TEPALCINGO,17019,TEPALCINGO 02,CAPTURADA,2019-02-23,46,15,0,61,17,19,TEPALCINGO,20438,20228,17,019
1701903,17,MORELOS,19,TEPALCINGO,17,TEPALCINGO,17019,TEPALCINGO 03,CAPTURADA,2019-02-23,41,29,0,70,17,19,TEPALCINGO,20438,20228,17,019
1702001,17,MORELOS,20,TEPOZTLAN,17,TEPOZTLAN,17020,TEPOZTLAN 01,CAPTURADA,2019-02-23,92,222,1,315,17,20,TEPOZTLAN,29533,29302,17,020
1702101,17,MORELOS,21,TETECALA,17,TETECALA,17021,TETECALA 01,CAPTURADA,2019-02-23,118,14,1,133,17,21,TETECALA,6384,6330,17,021
1702201,17,MORELOS,22,TETELA DEL VOLCAN,17,TETELA DEL VOLCAN,17022,TETELA DEL VOLCAN 01,CAPTURADA,2019-02-23,9,77,0,86,17,22,TETELA DEL VOLCAN,14634,14543,17,022
1702301,17,MORELOS,23,TLALNEPANTLA,17,TLALNEPANTLA,17023,TLALNEPANTLA 01,CAPTURADA,2019-02-23,43,28,0,71,17,23,TLALNEPANTLA,5065,5042,17,023
1702401,17,MORELOS,24,TLALTIZAPAN,17,TLALTIZAPAN,17024,TLALTIZAPAN 01,CAPTURADA,2019-02-23,161,58,1,220,17,24,TLALTIZAPAN DE ZAPATA,38198,37798,17,024
1702402,17,MORELOS,24,TLALTIZAPAN,17,TLALTIZAPAN,17024,TLALTIZAPAN 02,CAPTURADA,2019-02-23,73,31,0,104,17,24,TLALTIZAPAN DE ZAPATA,38198,37798,17,024
1702403,17,MORELOS,24,TLALTIZAPAN,17,TLALTIZAPAN,17024,TLALTIZAPAN 03,CAPTURADA,2019-02-23,75,8,0,83,17,24,TLALTIZAPAN DE ZAPATA,38198,37798,17,024
1702501,17,MORELOS,25,TLAQUILTENANGO,17,TLAQUILTENANGO,17025,TLAQUILTENANGO 01,CAPTURADA,2019-02-23,133,43,3,179,17,25,TLAQUILTENANGO,25203,24994,17,025
1702502,17,MORELOS,25,TLAQUILTENANGO,17,TLAQUILTENANGO,17025,TLAQUILTENANGO 02,CAPTURADA,2019-02-23,52,4,0,56,17,25,TLAQUILTENANGO,25203,24994,17,025
1702503,17,MORELOS,25,TLAQUILTENANGO,17,TLAQUILTENANGO,17025,TLAQUILTENANGO 03,CAPTURADA,2019-02-23,33,2,0,35,17,25,TLAQUILTENANGO,25203,24994,17,025
1702601,17,MORELOS,26,TLAYACAPAN,17,TLAYACAPAN,17026,TLAYACAPAN 01,CAPTURADA,2019-02-23,111,67,0,178,17,26,TLAYACAPAN,14286,14162,17,026
1702701,17,MORELOS,27,TOTOLAPAN,17,TOTOLAPAN,17027,TOTOLAPAN 01,CAPTURADA,2019-02-23,100,23,0,123,17,27,TOTOLAPAN,8104,8044,17,027
1702801,17,MORELOS,28,XOCHITEPEC,17,XOCHITEPEC,17028,XOCHITEPEC 01,CAPTURADA,2019-02-23,122,29,0,151,17,28,XOCHITEPEC,50066,49576,17,028
1702802,17,MORELOS,28,XOCHITEPEC,17,XOCHITEPEC,17028,XOCHITEPEC 02,CAPTURADA,2019-02-23,42,23,0,65,17,28,XOCHITEPEC,50066,49576,17,028
1702901,17,MORELOS,29,YAUTEPEC,17,YAUTEPEC,17029,YAUTEPEC 01,CAPTURADA,2019-02-23,914,161,4,1079,17,29,YAUTEPEC,78006,77372,17,029
1702902,17,MORELOS,29,YAUTEPEC,17,YAUTEPEC,17029,YAUTEPEC 02,CAPTURADA,2019-02-23,173,34,1,208,17,29,YAUTEPEC,78006,77372,17,029
1702903,17,MORELOS,29,YAUTEPEC,17,YAUTEPEC,17029,YAUTEPEC 03,CAPTURADA,2019-02-23,87,43,0,130,17,29,YAUTEPEC,78006,77372,17,029
1703001,17,MORELOS,30,YECAPIXTLA,17,YECAPIXTLA,17030,YECAPIXTLA 01,CAPTURADA,2019-02-23,144,330,1,475,17,30,YECAPIXTLA,35994,35779,17,030
1703003,17,MORELOS,30,YECAPIXTLA,17,YECAPIXTLA,17030,YECAPIXTLA 03,CAPTURADA,2019-02-23,83,77,0,160,17,30,YECAPIXTLA,35994,35779,17,030
1703101,17,MORELOS,31,ZACATEPEC,17,ZACATEPEC,17031,ZACATEPEC 01,CAPTURADA,2019-02-23,156,44,0,200,17,31,ZACATEPEC,29584,29323,17,031
1703201,17,MORELOS,32,ZACUALPAN,17,ZACUALPAN,17032,ZACUALPAN 01,CAPTURADA,2019-02-23,7,7,0,14,17,32,ZACUALPAN DE AMILPAS,7213,7185,17,032
1703303,17,MORELOS,33,TEMOAC,17,TEMOAC,17033,TEMOAC 03,CAPTURADA,2019-02-23,7,2,0,9,17,33,TEMOAC,11064,11028,17,033
1703501,17,MORELOS,35,COATETELCO,17,COATETELCO,17015,COATETELCO 01,CAPTURADA,2019-02-23,63,24,0,87,17,15,MIACATLAN,20309,20154,17,015
1703601,17,MORELOS,36,XOXOCOTLA,17,XOXOCOTLA,17017,XOXOCOTLA 01,CAPTURADA,2019-02-23,91,25,0,116,17,17,PUENTE DE IXTLA,49376,48885,17,017
1703701,17,MORELOS,37,HUEYAPAN,17,HUEYAPAN,17022,HUEYAPAN 01,CAPTURADA,2019-02-23,6,21,0,27,17,22,TETELA DEL VOLCAN,14634,14543,17,022
2100501,21,PUEBLA,5,ACTEOPAN,21,ACTEOPAN,21005,ACTEOPAN 01,CAPTURADA,2019-02-23,17,28,0,45,21,5,ACTEOPAN,2332,2275,21,005
2100502,21,PUEBLA,5,ACTEOPAN,21,ACTEOPAN,21005,ACTEOPAN 02,CAPTURADA,2019-02-23,8,17,1,26,21,5,ACTEOPAN,2332,2275,21,005
2100503,21,PUEBLA,5,ACTEOPAN,21,ACTEOPAN,21005,ACTEOPAN 03,CAPTURADA,2019-02-23,10,6,0,16,21,5,ACTEOPAN,2332,2275,21,005
2101901,21,PUEBLA,19,ATLIXCO,21,ATLIXCO,21019,ATLIXCO 01,CAPTURADA,2019-02-23,97,19,0,116,21,19,ATLIXCO,104706,103907,21,019
2101902,21,PUEBLA,19,ATLIXCO,21,ATLIXCO,21019,ATLIXCO 02,CAPTURADA,2019-02-23,61,3,0,64,21,19,ATLIXCO,104706,103907,21,019
2101903,21,PUEBLA,19,ATLIXCO,21,ATLIXCO,21019,ATLIXCO 03,CAPTURADA,2019-02-23,40,3,0,43,21,19,ATLIXCO,104706,103907,21,019
2102201,21,PUEBLA,22,ATZITZIHUACAN,21,ATZITZIHUACAN,21022,ATZITZIHUACAN 01,CAPTURADA,2019-02-23,10,20,1,31,21,22,ATZITZIHUACAN,9196,9056,21,022
2102202,21,PUEBLA,22,ATZITZIHUACAN,21,ATZITZIHUACAN,21022,ATZITZIHUACAN 02,CAPTURADA,2019-02-23,56,0,0,56,21,22,ATZITZIHUACAN,9196,9056,21,022
2102203,21,PUEBLA,22,ATZITZIHUACAN,21,ATZITZIHUACAN,21022,ATZITZIHUACAN 03,CAPTURADA,2019-02-23,26,8,0,34,21,22,ATZITZIHUACAN,9196,9056,21,022
2102601,21,PUEBLA,26,CALPAN,21,CALPAN,21026,CALPAN 01,CAPTURADA,2019-02-23,6,21,1,28,21,26,CALPAN,10672,10612,21,026
2102602,21,PUEBLA,26,CALPAN,21,CALPAN,21026,CALPAN 02,CAPTURADA,2019-02-23,0,227,0,227,21,26,CALPAN,10672,10612,21,026
2102603,21,PUEBLA,26,CALPAN,21,CALPAN,21026,CALPAN 03,CAPTURADA,2019-02-23,6,80,1,87,21,26,CALPAN,10672,10612,21,026
2103401,21,PUEBLA,34,COHUECAN,21,COHUECAN,21034,COHUECAN 01,CAPTURADA,2019-02-23,14,2,0,16,21,34,COHUECAN,3638,3551,21,034
2103402,21,PUEBLA,34,COHUECAN,21,COHUECAN,21034,COHUECAN 02,CAPTURADA,2019-02-23,25,16,1,42,21,34,COHUECAN,3638,3551,21,034
2103403,21,PUEBLA,34,COHUECAN,21,COHUECAN,21034,COHUECAN 03,CAPTURADA,2019-02-23,14,2,0,16,21,34,COHUECAN,3638,3551,21,034
2107001,21,PUEBLA,70,HUAQUECHULA,21,HUAQUECHULA,21070,HUAQUECHULA 01,CAPTURADA,2019-02-23,27,0,0,27,21,70,HUAQUECHULA,20631,20466,21,070
2107002,21,PUEBLA,70,HUAQUECHULA,21,HUAQUECHULA,21070,HUAQUECHULA 02,CAPTURADA,2019-02-23,16,5,0,21,21,70,HUAQUECHULA,20631,20466,21,070
2107003,21,PUEBLA,70,HUAQUECHULA,21,HUAQUECHULA,21070,HUAQUECHULA 03,CAPTURADA,2019-02-23,29,1,0,30,21,70,HUAQUECHULA,20631,20466,21,070
2107601,21,PUEBLA,76,HUEJOTZINGO,21,HUEJOTZINGO,21076,HUEJOTZINGO 01,CAPTURADA,2019-02-23,28,5,0,33,21,76,HUEJOTZINGO,54776,54343,21,076
2107602,21,PUEBLA,76,HUEJOTZINGO,21,HUEJOTZINGO,21076,HUEJOTZINGO 02,CAPTURADA,2019-02-23,17,5,0,22,21,76,HUEJOTZINGO,54776,54343,21,076
2107603,21,PUEBLA,76,HUEJOTZINGO,21,HUEJOTZINGO,21076,HUEJOTZINGO 03,CAPTURADA,2019-02-23,32,14,0,46,21,76,HUEJOTZINGO,54776,54343,21,076
2109203,21,PUEBLA,92,JUAN C. BONILLA,21,JUAN C. BONILLA,21092,JUAN C. BONILLA 03,CAPTURADA,2019-02-23,5,3,0,8,21,92,JUAN C. BONILLA,16854,16682,21,092
2110301,21,PUEBLA,103,NEALTICAN,21,NEALTICAN,21103,NEALTICAN 01,CAPTURADA,2019-02-23,11,176,0,187,21,103,NEALTICAN,8720,8653,21,103
2110302,21,PUEBLA,103,NEALTICAN,21,NEALTICAN,21103,NEALTICAN 02,CAPTURADA,2019-02-23,2,24,0,26,21,103,NEALTICAN,8720,8653,21,103
2110303,21,PUEBLA,103,NEALTICAN,21,NEALTICAN,21103,NEALTICAN 03,CAPTURADA,2019-02-23,0,0,0,0,21,103,NEALTICAN,8720,8653,21,103
2110701,21,PUEBLA,107,OCOYUCAN,21,OCOYUCAN,21107,OCOYUCAN 01,CAPTURADA,2019-02-23,13,0,0,13,21,107,OCOYUCAN,24399,24143,21,107
2110702,21,PUEBLA,107,OCOYUCAN,21,OCOYUCAN,21107,OCOYUCAN 02,CAPTURADA,2019-02-23,30,1,0,31,21,107,OCOYUCAN,24399,24143,21,107
2110703,21,PUEBLA,107,OCOYUCAN,21,OCOYUCAN,21107,OCOYUCAN 03,CAPTURADA,2019-02-23,27,5,0,32,21,107,OCOYUCAN,24399,24143,21,107
2112701,21,PUEBLA,127,SAN JERONIMO TECUANIPAN,21,SAN JERONIMO TECUANIPAN,21127,SAN JERONIMO TECUANIPAN 01,CAPTURADA,2019-02-23,2,2,0,4,21,127,SAN JERONIMO TECUANIPAN,4182,4140,21,127
2112702,21,PUEBLA,127,SAN JERONIMO TECUANIPAN,21,SAN JERONIMO TECUANIPAN,21127,SAN JERONIMO TECUANIPAN 02,CAPTURADA,2019-02-23,8,0,0,8,21,127,SAN JERONIMO TECUANIPAN,4182,4140,21,127
